student_id,student_name,division,course_code,course_name,faculty_id,faculty_name,faculty_email,attendance_percentage,classes_attended,total_classes,isa1_score,isa2_score,assignment_score,total_score,performance_status,last_updated
STU021,Student 21,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,100.0,45,45,15,2,3,20,Below Threshold,2024-12-03
STU022,Student 22,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,93.33,28,30,13,11,8,32,Above Threshold,2024-12-03
STU023,Student 23,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,100.0,30,30,20,16,6,42,Above Threshold,2024-12-03
STU024,Student 24,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,88.89,40,45,15,2,3,20,Below Threshold,2024-12-03
STU025,Student 25,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,80.0,36,45,20,19,2,41,Above Threshold,2024-12-03
STU026,Student 26,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,77.78,35,45,10,20,1,31,Above Threshold,2024-12-03
STU027,Student 27,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,96.67,29,30,9,20,2,31,Above Threshold,2024-12-03
STU028,Student 28,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,68.89,31,45,7,14,4,25,Below Threshold,2024-12-03
STU029,Student 29,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,77.14,27,35,12,10,4,26,Above Threshold,2024-12-03
STU030,Student 30,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,88.57,31,35,2,18,4,24,Below Threshold,2024-12-03
STU031,Student 31,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,39,45,14,18,6,38,Above Threshold,2024-12-03
STU032,Student 32,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,80.0,24,30,18,19,4,41,Above Threshold,2024-12-03
STU033,Student 33,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,82.86,29,35,12,8,1,21,Below Threshold,2024-12-03
STU034,Student 34,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,71.11,32,45,19,20,6,45,Above Threshold,2024-12-03
STU035,Student 35,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,70.0,21,30,8,8,9,25,Below Threshold,2024-12-03
STU036,Student 36,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,73.33,22,30,8,10,2,20,Below Threshold,2024-12-03
STU037,Student 37,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,80.0,28,35,5,2,9,16,Below Threshold,2024-12-03
STU038,Student 38,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,80.0,28,35,17,7,8,32,Above Threshold,2024-12-03
STU039,Student 39,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,80.0,24,30,15,1,10,26,Above Threshold,2024-12-03
STU040,Student 40,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,88.57,31,35,9,14,5,28,Above Threshold,2024-12-03
STU041,Student 41,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,96.67,29,30,18,13,9,40,Above Threshold,2024-12-03
STU042,Student 42,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,74.29,26,35,6,10,6,22,Below Threshold,2024-12-03
STU043,Student 43,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,82.86,29,35,17,13,3,33,Above Threshold,2024-12-03
STU044,Student 44,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,100.0,35,35,15,20,9,44,Above Threshold,2024-12-03
STU045,Student 45,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,85.71,30,35,0,6,0,6,Below Threshold,2024-12-03
STU046,Student 46,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,86.67,26,30,16,18,10,44,Above Threshold,2024-12-03
STU047,Student 47,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,100.0,35,35,7,14,1,22,Below Threshold,2024-12-03
STU048,Student 48,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,93.33,42,45,0,2,10,12,Below Threshold,2024-12-03
STU049,Student 49,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,77.14,27,35,3,9,8,20,Below Threshold,2024-12-03
STU050,Student 50,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,94.29,33,35,10,14,1,25,Below Threshold,2024-12-03
STU051,Student 51,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,97.78,44,45,5,11,8,24,Below Threshold,2024-12-03
STU052,Student 52,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,97.14,34,35,7,16,10,33,Above Threshold,2024-12-03
STU053,Student 53,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,100.0,45,45,0,4,0,4,Below Threshold,2024-12-03
STU054,Student 54,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,91.43,32,35,5,16,5,26,Above Threshold,2024-12-03
STU055,Student 55,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,93.33,42,45,6,10,0,16,Below Threshold,2024-12-03
STU056,Student 56,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,76.67,23,30,15,14,4,33,Above Threshold,2024-12-03
STU057,Student 57,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,83.33,25,30,1,6,6,13,Below Threshold,2024-12-03
STU058,Student 58,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,90.0,27,30,15,15,1,31,Above Threshold,2024-12-03
STU059,Student 59,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,64.44,29,45,11,20,2,33,Above Threshold,2024-12-03
STU060,Student 60,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,75.56,34,45,9,9,8,26,Above Threshold,2024-12-03
STU061,Student 61,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,97.78,44,45,0,16,9,25,Below Threshold,2024-12-03
STU062,Student 62,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,85.71,30,35,9,6,5,20,Below Threshold,2024-12-03
STU063,Student 63,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,66.67,30,45,9,9,0,18,Below Threshold,2024-12-03
STU064,Student 64,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,86.67,39,45,14,17,10,41,Above Threshold,2024-12-03
STU065,Student 65,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,75.56,34,45,4,19,1,24,Below Threshold,2024-12-03
STU066,Student 66,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,93.33,42,45,6,20,9,35,Above Threshold,2024-12-03
STU067,Student 67,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,80.0,24,30,17,5,10,32,Above Threshold,2024-12-03
STU068,Student 68,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,86.67,26,30,10,11,5,26,Above Threshold,2024-12-03
STU069,Student 69,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,88.57,31,35,0,8,6,14,Below Threshold,2024-12-03
STU070,Student 70,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,93.33,42,45,10,8,7,25,Below Threshold,2024-12-03
STU071,Student 71,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,97.14,34,35,13,9,10,32,Above Threshold,2024-12-03
STU072,Student 72,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,97.14,34,35,1,7,9,17,Below Threshold,2024-12-03
STU073,Student 73,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,66.67,20,30,0,1,6,7,Below Threshold,2024-12-03
STU074,Student 74,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,77.14,27,35,4,9,5,18,Below Threshold,2024-12-03
STU075,Student 75,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,91.11,41,45,0,18,9,27,Above Threshold,2024-12-03
STU076,Student 76,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,97.78,44,45,18,6,10,34,Above Threshold,2024-12-03
STU077,Student 77,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,100.0,45,45,2,1,7,10,Below Threshold,2024-12-03
STU078,Student 78,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,82.86,29,35,8,0,1,9,Below Threshold,2024-12-03
STU079,Student 79,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,66.67,30,45,1,5,2,8,Below Threshold,2024-12-03
STU080,Student 80,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,77.78,35,45,18,15,7,40,Above Threshold,2024-12-03
STU081,Student 81,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,91.43,32,35,4,8,9,21,Below Threshold,2024-12-03
STU082,Student 82,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,39,45,12,5,4,21,Below Threshold,2024-12-03
STU083,Student 83,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,86.67,39,45,9,11,6,26,Above Threshold,2024-12-03
STU084,Student 84,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,91.43,32,35,13,2,3,18,Below Threshold,2024-12-03
STU085,Student 85,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,91.43,32,35,9,3,8,20,Below Threshold,2024-12-03
STU086,Student 86,C,CS101,Introduction to Programming,F005,Dr. Davis,davis@university.edu,86.67,39,45,0,4,10,14,Below Threshold,2024-12-03
STU087,Student 87,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,95.56,43,45,20,7,7,34,Above Threshold,2024-12-03
STU088,Student 88,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,77.14,27,35,12,3,1,16,Below Threshold,2024-12-03
STU089,Student 89,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,26,30,6,16,2,24,Below Threshold,2024-12-03
STU090,Student 90,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,74.29,26,35,19,15,4,38,Above Threshold,2024-12-03
STU091,Student 91,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,26,30,7,0,1,8,Below Threshold,2024-12-03
STU092,Student 92,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,80.0,28,35,8,1,9,18,Below Threshold,2024-12-03
STU093,Student 93,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,80.0,28,35,0,14,10,24,Below Threshold,2024-12-03
STU094,Student 94,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,86.67,26,30,18,18,8,44,Above Threshold,2024-12-03
STU095,Student 95,A,CS101,Introduction to Programming,F002,Dr. Johnson,johnson@university.edu,76.67,23,30,8,5,3,16,Below Threshold,2024-12-03
STU096,Student 96,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,82.86,29,35,18,13,2,33,Above Threshold,2024-12-03
STU097,Student 97,B,CS101,Introduction to Programming,F003,Dr. Williams,williams@university.edu,65.71,23,35,6,8,3,17,Below Threshold,2024-12-03
STU098,Student 98,B,CS101,Introduction to Programming,F004,Dr. Brown,brown@university.edu,97.14,34,35,3,1,1,5,Below Threshold,2024-12-03
STU099,Student 99,C,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,80.0,36,45,10,15,2,27,Above Threshold,2024-12-03
STU100,Student 100,A,CS101,Introduction to Programming,F001,Dr. Smith,smith@university.edu,90.0,27,30,16,3,7,26,Above Threshold,2024-12-03
